1,2,3,4,5,6,7,8,9,10
r,u,u,x,w,x,x,u,u,u
r,u,u,x,u,x,x,u,u,u
r,u,u,x,u,x,x,u,r,u
r,u,u,x,u,x,x,u,r,u
u,x,x,x,u,x,x,r,x,u
u,x,x,x,u,x,x,r,x,u
u,u,u,u,u,u,u,u,r,u
u,u,u,u,u,u,u,u,r,u
u,u,u,u,u,u,u,u,r,u
u,u,u,u,u,u,u,u,r,u
u,u,u,u,u,u,u,u,w,w
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
x,u,u,u,u,u,u,r,r,u
x,u,u,u,u,u,u,r,r,u
x,u,u,r,r,u,u,r,r,u
x,u,r,r,u,u,u,r,u,u
x,u,r,r,u,u,u,r,u,u
x,u,r,r,u,u,u,r,u,u
x,u,r,r,u,u,u,r,u,u
x,u,r,r,u,u,u,r,u,u
r,u,r,r,u,u,u,r,u,u
r,u,r,r,u,u,u,r,u,u
u,u,u,r,r,u,u,r,r,u
u,u,u,r,r,u,u,r,r,u
u,u,u,r,r,u,r,r,r,u
u,u,u,r,r,u,r,r,r,u
x,r,r,r,u,u,x,x,x,x
x,r,r,r,u,u,x,x,x,x
x,r,r,r,r,u,x,x,x,x
x,r,r,r,r,u,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
x,u,u,u,x,x,x,x,x,x
r,r,r,u,u,r,r,r,x,u
r,r,r,u,u,r,r,r,w,w
u,u,u,u,r,u,w,r,r,u
u,u,u,u,r,u,w,r,r,u
u,u,u,u,r,u,r,r,r,u
u,u,u,u,r,u,r,r,r,u
r,u,x,r,r,u,r,r,x,u
r,u,x,r,r,u,r,r,x,u
r,u,x,r,r,u,r,r,x,u
r,u,x,r,r,u,r,r,x,u
r,u,r,x,r,u,r,r,r,u
x,u,r,x,r,u,r,r,r,u
x,u,r,r,r,u,x,r,r,u
x,u,u,x,r,u,x,r,r,u
w,u,u,r,r,u,u,r,r,u
x,u,u,r,r,u,u,r,r,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,r,u
u,u,u,r,u,u,u,x,x,u
u,u,u,r,u,u,u,x,x,u
u,u,u,r,u,u,u,x,x,u
u,u,u,r,u,u,u,x,x,u
u,u,u,r,u,u,u,x,x,u
u,u,u,r,u,u,u,x,x,u
u,u,u,r,u,u,u,x,x,u
u,u,u,r,u,u,u,x,x,u
r,u,u,x,u,u,u,u,u,u
r,u,u,x,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
x,u,u,u,u,u,u,u,r,u
r,u,u,u,u,u,u,u,r,u
r,u,u,u,u,u,u,u,r,u
r,u,u,u,u,u,u,u,r,u
r,u,u,u,u,u,u,u,r,u
x,u,u,u,u,u,u,u,r,u
u,u,u,u,r,u,u,u,u,u
u,u,u,u,r,u,u,u,u,u
u,u,u,u,r,w,u,u,u,u
u,u,u,u,r,w,x,x,x,x
r,u,u,r,u,u,u,x,u,u
r,u,u,r,u,u,u,u,u,u
r,u,u,r,w,u,u,x,u,u
r,u,u,r,x,u,u,x,u,u
r,u,u,u,u,u,u,u,r,u
r,u,u,u,u,u,u,u,r,u
r,u,u,u,u,u,u,u,r,u
r,u,u,u,u,u,u,u,r,u
x,x,x,x,x,u,x,r,r,u
x,x,x,x,x,u,u,r,r,u
r,x,x,x,x,u,u,r,u,u
r,x,x,x,x,u,u,r,u,u
r,x,x,x,x,u,u,r,u,u
r,x,x,x,x,u,u,r,u,u
r,u,u,r,r,u,r,r,x,u
x,u,u,u,r,u,r,r,x,u
r,x,r,r,u,x,x,x,x,x
r,r,x,r,r,u,r,x,r,u
u,u,r,x,x,u,u,r,x,u
u,u,r,x,x,u,u,r,r,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,x,u
u,u,u,u,u,u,u,u,x,u
u,u,u,u,u,u,u,u,x,u
u,u,u,u,u,u,u,u,x,u
u,u,u,u,u,u,u,u,x,u
u,u,u,u,u,u,u,u,x,u
u,u,u,u,u,u,u,u,x,u
u,u,u,u,u,u,r,u,u,u
u,u,u,u,u,u,r,u,u,u
u,u,u,u,u,u,r,u,x,u
u,u,u,u,u,u,r,u,u,u
u,u,u,u,u,u,r,r,x,u
u,u,u,u,u,u,r,r,x,u
u,u,u,u,u,u,r,r,x,u
u,u,u,u,u,u,r,r,x,u
x,u,u,u,u,u,x,r,r,u
x,u,u,u,u,u,x,r,r,u
x,u,u,u,u,u,x,r,r,u
x,u,u,u,u,u,x,r,r,u
x,u,u,u,u,u,x,r,r,u
x,u,u,r,x,u,u,r,x,u
x,u,u,r,x,u,u,r,x,u
x,u,u,r,x,u,u,r,x,u
x,u,u,r,x,u,u,r,x,u
u,u,u,u,w,u,u,x,x,u
w,u,u,u,u,u,u,x,r,u
u,u,u,u,r,u,u,r,r,u
u,u,u,u,r,u,u,r,r,u
u,u,u,u,r,u,u,r,r,u
u,u,u,r,u,u,u,r,r,u
u,u,u,r,u,u,u,r,r,u
u,u,u,r,u,u,u,r,r,u
u,u,u,r,u,u,u,r,r,u
u,u,u,r,u,w,u,r,r,u
r,u,u,r,r,u,r,r,r,u
r,u,u,r,r,u,r,r,r,u
u,u,u,r,u,u,r,r,r,u
u,u,u,r,u,u,r,r,r,u
r,u,u,u,u,u,u,x,r,u
r,u,u,u,u,u,u,x,r,u
r,u,u,u,x,u,u,x,x,x
r,u,u,u,u,u,u,x,x,x
r,r,r,r,r,u,x,r,r,u
r,r,r,r,r,u,w,r,r,u
r,r,r,r,r,u,x,r,r,u
r,r,r,r,r,u,x,r,r,u
u,u,u,u,x,u,u,u,r,u
u,u,u,u,x,u,u,r,r,u
u,u,u,u,r,u,u,r,u,u
u,u,u,u,x,u,u,x,x,x
u,u,u,r,x,u,u,u,x,u
u,u,u,r,u,u,u,u,x,u
r,u,u,r,u,u,u,r,x,u
r,u,u,r,u,u,u,r,x,u
u,u,u,u,u,u,u,x,u,w
u,u,x,x,x,u,u,u,u,x
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,w,w
u,u,u,u,u,u,u,u,u,u
u,u,r,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,w
u,u,u,r,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
u,u,u,r,u,u,u,u,u,u
r,u,u,u,w,u,r,u,u,u
r,u,u,u,w,u,r,u,u,x
r,u,u,u,r,u,r,u,u,u
r,u,u,u,r,u,r,u,u,u
r,u,u,u,u,u,r,r,u,u
r,u,u,u,u,u,r,r,u,u
r,u,u,u,u,u,r,r,u,u
r,u,u,u,u,u,w,r,u,u
r,u,u,u,r,u,x,x,r,u
r,u,u,r,r,u,w,r,x,u
r,u,u,r,r,x,x,r,r,x
u,u,u,r,r,u,x,x,r,u
r,u,u,r,u,u,x,u,r,u
r,u,u,r,r,u,x,u,r,u
u,u,u,x,r,u,r,x,x,x
x,u,u,x,x,x,r,r,x,u
x,u,u,x,x,x,x,r,x,w
w,u,u,x,x,x,r,r,x,u
r,u,u,u,x,x,x,x,x,x
r,r,u,u,x,x,x,x,x,x
r,u,r,r,u,u,u,r,x,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,x,u,u,u,u,u
u,u,u,u,x,u,u,u,u,u
u,u,u,u,w,u,u,u,u,u
u,u,u,u,w,u,u,u,u,u
u,u,u,u,w,u,u,u,u,u
u,u,u,u,x,u,u,u,u,u
x,u,u,u,u,u,u,r,r,u
x,u,u,u,u,u,u,r,r,u
x,x,x,x,x,x,x,u,r,u
x,x,x,x,x,x,x,u,r,u
x,x,x,x,x,x,x,u,r,u
x,x,x,x,x,x,x,u,r,u
r,r,u,x,r,u,r,r,x,u
r,r,u,x,r,u,r,r,x,u
r,r,u,x,r,u,r,r,x,u
r,r,u,x,r,u,r,r,x,u
x,u,u,u,x,u,u,r,r,x
x,u,u,u,x,u,u,r,r,u
u,x,x,x,x,x,x,x,x,x
u,x,x,x,x,x,x,x,x,x
u,x,x,x,x,x,x,x,x,x
u,x,x,x,x,x,x,x,x,x
u,u,u,u,r,u,u,u,u,u
u,u,u,u,r,u,u,u,u,u
u,u,u,u,r,u,u,u,u,u
r,u,u,r,u,u,u,r,x,u
r,u,r,r,r,u,u,r,r,u
r,u,r,r,r,u,u,r,r,u
r,u,r,r,r,u,u,r,r,u
r,u,r,r,r,u,u,r,r,u
r,u,u,r,r,u,u,r,w,u
r,u,u,r,r,u,u,r,r,u
r,u,u,r,r,u,u,r,r,u
r,u,u,r,r,u,u,r,r,u
r,u,r,x,r,u,r,x,x,w
r,u,r,x,r,u,r,r,r,u
r,u,r,x,r,u,r,r,x,u
r,u,u,x,r,u,r,r,r,u
r,u,u,x,r,u,r,r,r,u
r,u,u,x,r,u,r,r,r,u
r,u,u,x,r,u,r,r,r,u
r,u,r,x,r,u,u,x,u,x
r,u,r,x,r,u,u,x,u,u
r,r,r,x,r,u,u,x,u,u
r,r,r,x,r,u,u,x,u,u
r,r,r,x,r,u,u,x,u,u
u,u,u,r,r,u,u,r,r,u
u,u,u,r,r,u,u,r,r,u
u,u,u,r,r,u,u,r,r,u
r,r,r,x,r,u,r,x,r,u
r,r,r,x,u,u,r,w,r,u
r,r,r,x,x,u,r,x,r,u
r,r,r,x,u,u,r,x,r,u
r,u,u,r,x,u,u,x,r,u
r,u,u,r,x,u,u,x,r,u
r,u,u,r,x,u,u,x,r,u
u,u,u,r,x,u,u,x,r,u
u,u,u,r,x,u,u,x,r,u
u,u,u,r,x,u,u,x,r,u
u,u,u,x,r,u,u,r,u,u
u,u,u,x,r,u,u,r,u,u
u,u,u,x,r,u,u,r,u,u
r,u,u,u,r,u,u,x,x,u
r,u,u,u,r,u,u,x,x,u
r,u,u,u,r,u,u,x,x,u
r,u,u,u,r,u,u,x,x,u
r,u,u,u,r,x,u,x,x,u
u,u,u,x,u,x,x,x,x,r
u,u,u,x,u,x,x,x,x,x
u,u,u,x,u,x,x,x,x,x
u,u,u,x,u,x,x,x,x,x
u,u,u,x,u,x,x,x,x,x
u,u,u,w,w,w,u,u,u,u
x,u,u,x,x,x,u,u,u,u
x,u,u,x,x,x,u,u,u,u
x,u,u,x,x,x,u,u,u,u
x,u,u,x,x,x,u,u,u,u
x,u,u,x,x,x,u,u,u,u
x,u,u,x,x,x,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,w,u,u,w,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
u,u,u,u,u,u,u,u,u,u
r,u,r,x,u,x,x,u,r,x
r,u,r,x,u,x,x,u,r,u
r,u,r,x,u,x,x,u,r,u
r,u,r,x,w,x,x,u,r,u
r,u,u,x,u,x,x,u,r,u
r,u,u,x,u,x,x,u,r,u
r,u,u,x,u,x,x,u,r,u
r,u,u,x,u,x,x,u,r,u
r,u,x,r,u,x,x,u,r,u
r,u,x,r,u,x,x,u,r,u
r,u,x,r,u,x,x,u,r,u
r,u,x,r,u,x,x,u,r,u
r,u,x,r,x,x,x,u,r,w
r,u,x,r,u,x,x,u,r,u
r,u,x,r,x,x,x,u,r,u
r,u,x,r,w,x,x,u,r,u
u,u,r,u,u,u,u,r,r,u
w,u,u,r,r,x,u,r,x,x
r,u,r,u,u,u,r,r,u,u
r,u,r,u,u,u,r,r,u,u
r,u,r,u,u,u,r,r,u,u
u,u,r,u,u,u,r,r,w,u
r,u,r,u,u,u,w,r,u,u
u,u,r,u,u,u,r,r,r,u
u,u,r,x,u,u,r,r,r,w
